Timestamp,Source IP,Destination IP,Protocol,Port,Alert
2025-07-08T17:01:44.766859,192.168.100.11,92.63.169.52,6,4444.0,Suspicious destination port detected.
2025-07-08T17:01:44.766859,192.168.100.11,92.63.169.52,6,4444.0,Suspicious source IP detected.
2025-07-08T17:01:44.766925,192.168.100.11,92.63.169.52,6,4444.0,Suspicious destination port detected.
2025-07-08T17:01:44.766925,192.168.100.11,92.63.169.52,6,4444.0,Suspicious source IP detected.
2025-07-08T17:01:44.766958,192.168.100.11,192.168.100.1,17,53.0,Suspicious source IP detected.
2025-07-08T17:01:44.766983,192.168.100.11,192.168.100.1,17,53.0,Suspicious source IP detected.
2025-07-08T17:01:44.767004,192.168.100.11,162.247.241.14,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767024,192.168.100.11,162.247.241.14,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767049,192.168.100.11,162.247.243.29,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767077,192.168.100.11,162.247.243.29,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767094,192.168.100.11,162.247.243.29,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767111,192.168.100.11,162.247.243.29,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767137,192.168.100.11,162.247.243.29,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767156,192.168.100.11,162.247.243.29,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767177,192.168.100.11,162.247.243.29,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767193,192.168.100.11,162.247.243.29,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767214,192.168.100.11,162.247.243.29,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767234,192.168.100.11,162.247.241.14,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767260,192.168.100.11,162.247.243.29,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767276,192.168.100.11,142.251.37.46,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767302,192.168.100.11,142.251.37.46,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767330,192.168.100.11,34.228.93.186,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767348,192.168.100.11,34.228.93.186,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767364,192.168.100.11,34.228.93.186,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767383,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767400,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767416,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767469,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767561,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767603,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767629,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767664,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767702,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767753,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767771,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767791,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767810,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767853,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767892,192.168.100.11,142.251.37.46,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767911,192.168.100.11,104.18.26.90,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767931,192.168.100.11,92.63.169.52,6,4444.0,Suspicious destination port detected.
2025-07-08T17:01:44.767931,192.168.100.11,92.63.169.52,6,4444.0,Suspicious source IP detected.
2025-07-08T17:01:44.767952,192.168.100.11,142.251.37.202,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.767969,192.168.100.11,86.119.0.151,6,25262.0,Suspicious source IP detected.
2025-07-08T17:01:44.767988,192.168.100.11,142.251.37.202,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768009,192.168.100.11,146.75.118.114,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768025,192.168.100.11,18.66.147.22,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768046,192.168.100.11,34.237.73.95,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768062,192.168.100.11,172.64.155.209,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768081,192.168.100.11,34.237.73.95,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768107,192.168.100.11,86.119.0.151,6,25262.0,Suspicious source IP detected.
2025-07-08T17:01:44.768126,192.168.100.11,34.237.73.95,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768142,192.168.100.11,34.237.73.95,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768164,192.168.100.11,34.237.73.95,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768180,192.168.100.11,34.237.73.95,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768202,192.168.100.11,34.237.73.95,6,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768218,192.168.100.11,92.63.169.52,6,4444.0,Suspicious destination port detected.
2025-07-08T17:01:44.768218,192.168.100.11,92.63.169.52,6,4444.0,Suspicious source IP detected.
2025-07-08T17:01:44.768235,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768251,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768267,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768313,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768348,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768370,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768414,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768446,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768493,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768522,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768541,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
2025-07-08T17:01:44.768560,192.168.100.11,46.32.120.16,17,443.0,Suspicious source IP detected.
